id,characteristic,known_variations,number_of_users,number_variations
168,Can you smell cut-grass?,"['Yes', 'Yes - grass has extremely intense odor', 'Yes, i love it.', 'No', 'Yes, and i am allergic to it']",668,5
14,Ability to Tan,"['No', 'Yes', 'Moderate', 'Poor', 'None', 'Burn then tan', 'Easily deeply tan & rarely burn', 'Had melanoma', 'I stay dark year round', 'Freckled, burn very quickly, a bit of tan', 'No tan, just freckles', 'No problem with tanning after i corrected vit. d deficiency', 'I burn at first, then tan, with light freckling', 'Sun sensitivity with history of sun poisoning', 'Burn ', 'I burn in some places and tan in others', 'Fitzpatrick type 2', 'Tan well with careful exposure', 'Pink up, then next day slight tan', 'Slightly better than poor']",649,20
20,Nicotine dependence,"['Non-smoker', 'Ex-smoker, 7 cigarettes/day', 'Ex-smoker. 15 cigarettes/day', 'Ex-smoker. 15-16 cigarettes/day', ""Don't smoke"", 'Ex-smoker. 25 cigarettes/day', 'Ex smoker. 40 cigarettes a day', 'Never-non-smoker ', 'Smoker, 20 a day.', 'Smoker, 2 a day.', 'Ex smoker  3 cigarettes/day', 'Gg', 'Smoker. 10 cigarettes/day', 'Dipper, <1 can/day', 'Ex-smoker for 11 years no patches or gum', 'Ex-smoker, 2 a day', 'Excessive 3pks/day', 'Ex-smoker, still use nicotine gum', 'Smoker. 15 cigarettes/day. trying to quit.', 'Made of nicotine', 'Ex-smoker. 60 cigarettes a day', 'Binge smoker - 2 or 3 times a week, 10-20 at a time.', 'Social smoker, no addiction', 'Occasional cigar', 'Ex smoker - now vape', 'Chain smoker', 'Ex-smoker, 10 cigarettes/day', 'Smoker. 4 cigarettes/day. nicotine lozenges daily.  trying to quit for 4 years.', 'Never', 'Current smoker. ~10/day', 'Vape nicotine', 'Never - smoker ', 'Ex smoker now use electronic cigarettes ', '6 cigarettes/day', 'Have tried cigarettes - current non smoker  no addiction to nicotine', 'Snuff', 'Ex social smoker', 'Smoker, 6 cigarettes/day', 'Nicotine makes me feel sick', 'Occasionally pipe tobacco or hookah']",642,40
138,Sexual Preferences,"['Opposite sex attraction', 'Same sex attraction', 'Both', 'Asexual', 'Swinger', 'Opposite sex is somewhat more attractive', 'Mostly opposite', 'Mostly same-sex', 'Just my girl ❤️', 'Мой любимый муж', 'Gay', 'Demisexual', 'Pansexual', 'Heterosexual', 'Polyamorous, sapio']",620,15
100,Enjoy using the Internet,"['Yes', 'Not really, it is boring', 'Addicted', 'No, isp cost is too high']",577,4
17,Freckling,"['Light', 'I haven´t ,only in hand-light', 'Heavy', 'None', 'Some', 'Moderate', 'No', 'None on face - many on shoulders', 'Light, more as a child', 'Medium', 'Ct', 'Freckles only with sun', 'Light freckles all over, more when exposed to sun.', 'Extensive', 'Light reddish freckling with sun', 'Rs1805007', 'Very few freckles and the ones i do have are not visible', 'Light on face, moderate on arms', 'Across face, across arms, some light on shoulders. had more in childhood.', 'Rs1540771', 'Extensive as child, faded in adulthood', 'Slight', 'Heavy on face, light on shoulders', 'Tiny amount', 'Not the cute kinds ', 'Freckles - extensive, gotten lighter with age']",572,26
4,white skin,"['Caucasian', 'Tan skin', 'White', 'True', 'Pale white', 'Pale', 'White skin', 'Light tan', 'White skin(can tan)', 'Type 1', 'Brown', ""Fitzpatrick's type ii"", 'Slightly yellow/olive complexion', 'Yellow', 'Olive skin', 'Brown skin - rs1426654 ag /  rs16891982 cc / rs1042602 cc / rs1800414 tt / rs2031526 - n/a / rs885479 gg', 'Pinkish white skin which tans moderately', 'African american (light skin)', 'I am the color of a carmel latte', 'Light olive', 'Type 3+', 'Pale white: ruddy, florid', 'Fitzpatrick type i (palest olive with freckles)', 'Glow in the dark white', 'Light peach yellow', 'No', 'Blonde, 00, caucasian', 'Pale, cannot tan', 'White pinkish with lots of freckles, a bit darker in summer', 'Pale olive', 'Light multi-racial', 'Yes, and somewhat yellowish', 'White skin which easily tans', 'Very fair burn easily in sun', 'Very pale neutral skin with olive undertones', 'Fair skin with lots of freckles', 'Skin moles', 'Pale cool translucent', 'Pale in winter, tan in brazil', 'Snow white', 'Yes']",570,41
53,Blood type,"['O+', 'O-', 'A+', 'B+', 'Ab+', 'A-', 'O/o +/-', 'B-', 'A+ secretor / saliva non secretor!!', 'A+ (a/o) ', 'Ab-', 'Abo  kidd:  ag \tjk(a+b+)', 'A+ (ao/+-) non-secretor', 'Dont know', 'A2b+', 'O rh negative', 'A/o -/-', 'A+ (a+/0+) ']",563,18
86,ring finger longer than index finger,"['Yes', 'No', 'Equal', 'Both ring fingers are longer than my index fingers.', 'Both ring fingers are longer than my index fingers, but my right ring finger is 1-2 mm longer than the left one.', 'Left hand: yes / right hand: equal', 'Right hand: yes / left hand: equal ']",558,7
24,Astigmatism,"['True', 'No astigmatism', 'Mild', 'False', 'Right eye only', 'Left eye only', 'Had it as a child. corrected it with glasses. never had a recurrence', 'Severe', 'Extreme, bilaterally', 'Yes - very minor']",553,10
182,eye colour,"['Brown', 'Blue', 'The very first phenotype listed is ""eye colour"".  you have created a duplicate.  please read the list of phenotypes before adding a new one.', 'Green yellow', 'Losing eye pigment as i age, currently in the light brown almost green phase', 'Green with amber burst and gray outer ring', 'Green', 'Blue spot of brown', 'Brown inner, dark green outer', 'Blue/green', 'Green with blue halo', 'Brown green starburst', 'One brown one green', 'Amber/brown', 'No', 'Blue/gray', 'Brown with blue outer ring', 'Hazel', 'Rs12913832', 'Blue with yellow inner ring', ""Ice blue mixed with slate blue, with an amber pupil burst in both eyes and a brown spot adjacent to lower left pupil. eyes were green into my 20's."", 'Hazel, olive green with amber starburst', 'Light brown', 'Grey and amber', 'Heterochromia ', 'Dark brown', 'Blue/green/gold']",478,27
148,Birth year,"['1965', '1956', '1960', '1989', '1985', '1968', '1954', '1973', '1982', '1970', '1975', '1958', '1953', '1986', '1967', '1959', '1966', '1979', '1976', '1971', '1961', '1951', '1990', '1974', '1955', '1978', '1948', '1969', '1987', '1984', '1980', '1977', '1963', '1962', '1972', '1947', '1983', '1988', '1957', '1996', '1946', '1952', '1981', '1964', '1992', '1945', '1994', '1927', '1949', '1942', '2002', '1950', '1993', '1991', '1997', '1940', '1944', 'Choose not to answer', '1995', '1998', '1950s', '1941', '1999', '2000']",469,64
27,Asthma,"['Asthmatic, ', 'False', 'Had as a child, not anymore', 'No', 'Allergy induced, mainly when younger', 'Asda', 'Exercise-induced', 'Chronic asthma', 'Childhood asthma; no asthma as an adult', 'Asthma, mostly during childhood', 'Slight', 'Late onset asthma', 'Cold-induced, worse when younger', ""No (but i'm not sure)"", 'Asthma, secondary to allergies', 'Chronic asthma, allergen & cold induced', 'Severely asthmatic as a child, mildly as an adult (allergy and weather induced)', 'Rarely, as a toddler', 'Cough variant asthma', 'Yes', 'Severely asthmatic, more cough and loss of voice and breath, no wheeze']",448,21
65,Taste of broccoli,"['Ok - better cooked in stir fry', 'Like it', 'Fucking delicious', 'Love it', 'Dislike', 'Ok', 'Love it, both raw and cooked', 'Love it cooked, but too bitter raw', 'Love it normally but completely hated it during pregnancy', 'Yes, but only the stems', 'Like it but mainly eat broccoli sprouts', 'Liked it when younger, now not a fan', 'Love it, but it makes me bloat and very gassy', 'Love it, steamed with butter']",445,14
61,Wake up preference,"['Early riser', 'Late riser', 'No preference', 'Non-24', 'Non-24 / late riser', 'Sunrise', 'Interval sleep']",444,7
110,Ancestry,"['Irish - some english, huguenot', 'Northern european', 'Northen european + north eastern european + m. eastern', 'Northern and southern european', 'British isles, northern europe', 'British isles + central european + northern european', 'Northern european + southern american', 'South european', ""Irish, where men aren't british"", 'Mixed european (north, central, southern and eastern)', 'British isles', 'British, german', 'North european', 'Southern european (mostly iberian)', 'Mixed ancestry', 'Algerian', 'European mediterranean - maltese', 'R1b1a2a1a1b', 'African', 'French', 'Caucasian', 'Swedish', 'South european, romanian, hungarian, german', 'Irish, where people are british', 'Jewish + northern european', 'Mexican sephardic jewish', 'Eastern european + north eastern european + caucasus', 'Scottish, german, swiss', 'East asian', 'British + northern european + eastern eupropean', 'Balkan', 'South asian', 'Scandinavian, british isles, and northern european', 'South american', 'Scottish, english, german, french, other european', 'Irish italian german', 'Irish + slovak', 'Irish and french', 'Native american + european', 'East asian and northern european', 'Russian+ashkenazi', 'Southern european (mostly iberian) native american', 'British isles, western european, and central european', 'British isles, scandinavia, the balkans, and asia minor', 'Northern european + a quarter jewish', 'Scottish, english, ashkenazi', '96% west and east europe, 4% asia', 'R1b1b2a1a2f*', 'German, norwegian, english, italian, irish, scottish, welsh, (polish?), czech, french, dutch, and undiscovered ethnicities', 'German, italian', 'West african', 'German,french, english, irish', 'British isles, western european, scandinavian and central european', 'British, german, irish', 'Baltic, eastern european, northwestern european, balkan, ashkenazi, middle eastern', 'Vietnamese', 'Viking & celtic', 'East european+british+french', 'North european ', 'Italian', 'English, irish, welsh, 1/8th ancestry unknown', 'Irish, english, slavic,', 'East anglian, english', 'Northern european + central european + southern european + british isles', 'Norwegian, german, british, french', 'Middle eastern and southern european ', 'European', 'England, scotland, wales', 'Korean, european', 'Middle eastern and southern european,slovak ', 'Jewish + southern european', 'European + native american + arab', 'Northwest european + southeast asian', 'British isles, western europe, northern europe', 'Northwestern european', 'German', 'Swedish + unknown', 'Scandinavian,germanic\\frankish,irish,british,finn,iberian. ', 'German, british, italian, east european, siberian', 'Nw european + orcadian + western asia', 'Scottish, irish, welsh/norweigen/italian/slavic/10% eastern middle eastern/5% ashkenazi', 'North african', 'Ashkenazi eastern european + levite', 'Finnish, polish, german, french, balkan, scandavia, irish, english', 'Ukrainian, italian', 'Polish, british, irish', 'Ukrainian, polish, british isles', 'R-y944', 'Eastern european', '  europe west, scandinavia, ireland/scotland/wales,low confidence regions  europe south,great britain,iberian peninsula, melanesia', 'Ukranian, latvian + finnish', 'Norweigian 41.3% / german 30.7% /scotish 6.5%/ austrian 4.9%/swiss 15.8%', '98.5% european, 1.3% sub-saharan african, 0.1% northern african and western asian, 0.1% unassigned', 'Irish/english/welsh/german/italian', 'Dutch', 'Mostly european with small amounts of both african and native american-sonora, arizona and baja.', 'Middle eastern, south asian, european, african', 'Jewish ashkenazi+ portugal + spain + france + england + scotland + native american ', 'Swiss', 'Jewish ashkenaz + sephardic ', 'Irish + british + swiss + german + scandanavian + portugese & spanish + native american', 'British, irish, scandanavian, german, sardinian, italian, african, asian', 'Northeastern european, slightly sri lankan and leni lenape native american ', 'Danish, norwegian, swedish, anglo-frisian, lower german, east german, sorbian, polish', 'German, english, italian, northern european, greek, arab', 'Chinese', 'Austronesian', 'Ashkenazi jewish', 'Mixed', 'Ukrainian ', 'Northern iberian — asturies, catalunya, galicia ', 'French, minor spanish, trace amerindian', 'Welsh', 'Iranian']",440,114
90,Lisp,"['No', 'Articulation error cured by frenectomy ', ""I have the gay 's', possibly complicated by mandibular tori"", 'S based lisp', 'Not anymore, was corrected when younger', 'Slight s based lisp', 'Articulation error', 'Yes, required frenotomy', 'Dont know what this is', 'Yes']",439,10
58,Number of toes,"['10 (5 + 5)', '10']",437,2
107,ethnicity,"['Irish', 'Hispanic or mexican american', 'Bulgarian', 'Caucasian', 'French canadian', 'Northern european & english/scottish', 'Caucasion', 'United kingdom', 'Adopted', 'Ashkenazi', 'Tatar', 'Mixed', 'North west mediterranean', 'Finnish', 'Gaelic celtic/ norse / jewish', '1/2 nw euro, 1/4 italian, 1/4 jewish', 'East indian (south asian), irish, other west eurasian', 'Turk', 'Assyrian', 'American ', 'Portuguese', 'Irish/european/unknown', 'Russian', 'Algerian', 'American', 'French', 'Southern european (mostly iberian)', 'Swedish', 'Northeast african/tuscan/northern italian/northern european/celtic/swiss/burusho pakistani/cherokee/creek/blackfoot/east asian', 'Anglo-scots-irish', 'Greek irish french', 'White-on birth certificate-others lurking in the woodpile?', 'Scandinavian', 'German, italian, irish, scottish', 'Irish, scottish, swiss, german', 'Northeastern european + eastern european + caucasus', 'Slovenian', 'South asian', 'Crown of aragon\ufeff - teutonic ', 'Irish/northern european/scottish', 'Scottish, english, german, french, other european', 'Jewish, african, indigenous and european', 'Polynesian', 'Mutt', 'Spanish', '61% ashkenazi, 39% west europe', 'Italian', 'Great britain', 'Appalachian scots-irish', 'Northern european brit and irish', 'German + czech', 'Korean', 'Scottish, english, scandinavian, ashkenazi', 'Asian', 'Ashkenazi, europe west 48', 'English/scottish/irish/scandinavian/german', 'Anglo-slavic-scandinavian', 'German, french northern european', 'Scandinavian, western europe, british isles, italic, central europe', 'Us black', 'Spanish - basque - north italian - south native american', 'German, irish', 'British, german, irish', 'African american', 'Turkish', 'Iberian', 'Northern european and african  ', 'Irish, english, slavic', 'Sri lankan', 'English', 'Romanian', 'Northwestern european & southeast asian', 'French, italian, sicilian, english, possibly native american', 'Swedish + unknown', 'Hispanic, german, portugese, indigenous (born in paraguay/ mother & father both born in paraguay too)', 'German (palatine)', 'Scottish', 'Scottish/irish/norwegian/english/italian/slavic/eastern middle eastern/ashkenazi', '1/2 polish, 3/8 british, 1/8 irish', 'Eastern european', 'Gujarati', 'Bengali', '(scandinavian 41.7% norway) (french & german 22.1%) (british & irish 9.2% united kingdom) (eastern european 4.1% poland/hungary/slovakia)(broadly northwestern european 21.2% danish dutch belgian)  (broadly european 1.8% swiss iberian)', 'Irish/british/spanish/southwestern native american/african-american', 'Irish/english/welsh/german/italian', 'Dutch', 'British/irish', 'German, irish, scottish, english, danish, french, afro-caribbean', 'Irish english, german, polish, romanian, french', 'English, irish, northern irish, dutch, belgian, norwegian, swiss, liechtensteiner, swedish, sri lankan, lenni lenape', 'North sea germanic, skandinavian, germanic, balto-slavic, slavic', 'Ukrainian', 'Native american - english - irish', 'Chinese', '75% english 25% irish', 'Filipino', 'Slovak, scandinavian, english', 'Scottish, 14% albanian/balkan/macedonian/greek, 14% irish, +scandinavian/welsh', 'アジア人', 'Kazakh', 'Northwestern european', 'German', '75% dutch / 25% irish', 'Cajun', 'Iranian']",419,105
144,Aspirin Allergy,"['No', 'Yes', 'Intolerant but not allergic', 'Sensitive to aspirin', 'Unknown', 'Gi bleed from any nsaids', 'Was allergic until 35 years old and suddenly was not.']",413,7
63,Enjoy driving a car,"['Yes', 'No', 'No licence', 'Sometimes', 'Yeppers', 'Yes, sing along with mustang sally, change  lyrics lead food vicki', 'Yes, prefer flying', 'Mostly makes me anxious, but sometimes nice']",411,8
149,Earwax type,"['Wet, dry', 'Wet', 'Cc', 'Dry', 'Varies with humidity/amt. of ambient dust (heterozygous)', 'C/t wet', 'Rs17822931', 'Wet-dry (hetero)']",388,8
103,Fish Preference,"['Neutral', 'Like', 'Dislike', 'Fish is better than beef', 'Vegan', 'Love', 'Fresh water']",378,7
218,Age you started wearing glasses,"['12, but should have started at 9', '7', '42', 'First grade 8 yrs soon as tested', '11', '13', ""Don't wear"", '40 reading', '17', '33 (distance)', '27', '23', '9', '10', '24', '33 reading', '50', '53', '30', '34', '6', '14', '20', '5', '38', '45', '25', '3', '35', 'Never been tested but been using readers for 5 years 250`s', '21', '8', '29', '12', '6 years, after an accident ', '43 reading', '15', 'Reading after 40, but only super small print and when tired', '16', 'Never. better than 20/20 vision.', '47', '50 reading', '4', 'Got them as a child but did not need them till college', '22 after first pregnancy ', '12 distance', '40', '19', '60, to read, no distance probs yet.', '1 ', '26', '18', 'N/a']",373,53
79,Atheism,"['Agnostic', 'Atheist', 'No', 'Atheist...but pagan curious', 'Science oriented ', 'No ', 'Weakly  believer', 'Agnostic polytheist', 'Atheist but pantheist/gnostic positive', 'I believe in our inherent electrochemical energy ', 'Pantheist', 'Panentheist theosophist daoist wiccan w/asatru & native am. contributions', 'I belive there is a god but i dont know what it looks like or where it is  mother earth is a god in its self', 'Christian!', 'Ancestor veneration/ indigenous beliefs', 'Agnostic atheist', 'Spiritual humanist', 'I am a christian and i am science oriented. ', 'Humanist', 'Consciousness is self referential, belief in perfected consciousness , group consciousness, self similarity, and reflected wish fulfillment ', 'Modern paganism', 'Polytheist']",369,22
57,Number of wisdom teeth,"['4', '0', '2', '3', '4 (before extraction)', '6', '1', 'Unknown', '5', '4, all rotated 90°', '2.5 (no extraction)']",368,11
132,Widow's Peak,"['Slight', 'Yes', 'No']",364,3
29,ADHD,"['False', 'True', 'Undiagnosed, but probably true', 'No', 'Yes', 'Not diagnosed', 'Diagnosed as not having but with some signs', 'Mthfr c677t', 'Rs1801260', 'Adult onset', 'Diagnosed as ""other hyperkinetic disorder""', 'Blonde, european, green eyes', 'Extreme', 'Diagnosed as hyperactive type, though it is my belief that adhd is simply a normal trait such as eye color. ', 'Combined type']",359,15
